Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2022,30,Baltimore City,0223,Pimlico Elementary/Middle,Middle,43.7,167,19.6,75,24.1,92,382.3,20221114
2022,30,Baltimore City,0223,Pimlico Elementary/Middle,All,42.6,297,20.4,142,22.2,155,697.1,20221114
2022,30,Baltimore City,0225,Westport Academy,Elementary,56.1,82,23.9,35,32.1,47,146.3,20221114
2022,30,Baltimore City,0225,Westport Academy,Middle,28.6,25,8.0,7,20.6,18,87.3,20221114
2022,30,Baltimore City,0225,Westport Academy,All,45.8,107,18.0,42,27.8,65,233.6,20221114
2022,30,Baltimore City,0226,Violetville Elementary/Middle,Elementary,20.5,42,11.2,23,9.3,19,204.6,20221114
2022,30,Baltimore City,0226,Violetville Elementary/Middle,Middle,26.6,33,13.7,17,12.9,16,124.0,20221114
2022,30,Baltimore City,0226,Violetville Elementary/Middle,All,22.8,75,12.2,40,10.7,35,328.6,20221114
2022,30,Baltimore City,0228,John Ruhrah Elementary/Middle,Elementary,22.1,127,6.4,37,15.7,90,573.8,20221114
2022,30,Baltimore City,0228,John Ruhrah Elementary/Middle,Middle,21.7,60,7.6,21,14.1,39,276.7,20221114
2022,30,Baltimore City,0228,John Ruhrah Elementary/Middle,All,22.0,187,6.8,58,15.2,129,850.5,20221114
2022,30,Baltimore City,0229,Holabird Academy,Elementary,32.5,104,13.7,44,18.7,60,320.2,20221114
2022,30,Baltimore City,0229,Holabird Academy,Middle,27.3,39,11.9,17,15.4,22,142.9,20221114
2022,30,Baltimore City,0229,Holabird Academy,All,30.9,143,13.2,61,17.7,82,463.1,20221114
2022,30,Baltimore City,0231,The Belair-Edison School,Elementary,23.1,142,11.4,70,11.7,72,615.1,20221114
2022,30,Baltimore City,0231,The Belair-Edison School,Middle,18.9,70,8.6,32,10.2,38,371.2,20221114
